Seed,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,0.5,0.449,0.357,0.309,0.197,0.294,0.143,0.213,0.091,0.125,0.4,0,0,0,0,0.013
2,0.551,0.5,0.397,0.5,0.75,0.297,0.295,0.6,0.333,0.354,0.2,0,0,0,0.071,0
3,0.643,0.603,0.5,0.444,0.5,0.423,0.368,0,0.25,0.308,0.323,0,0,0.147,0.333,0
4,0.691,0.5,0.556,0.5,0.433,0.571,0.667,0.615,0.6,0,1,0.283,0.212,0,0,0
5,0.803,0.25,0.5,0.567,0.5,0.333,0,0.75,0.6,0,0,0.33,0.143,0,0,0
6,0.706,0.703,0.577,0.429,0.667,0,0.333,0.75,0,0.4,0.381,0,0,0.125,0,0
7,0.857,0.705,0.632,0.333,0,0.667,0,0.5,0,0.391,1,0,0,0,0.667,0
8,0.787,0.4,1,0.385,0.25,0.25,0.5,0,0.494,0,0,1,0,0,0,0
9,0.909,0.667,0.75,0.4,0.4,0,0,0.506,0,0,1,0,0,0,0,0
10,0.875,0.646,0.692,1,1,0.6,0.609,0,1,0.5,0.5,0,0,0,0,0
11,0.6,0.8,0.677,0,0,0.619,0,1,0,0.5,0.5,0,0,0,0,0
12,1,1,0,0.717,0.67,0,0,0,0,0,0,0.5,0.25,0,0,0
13,1,0,0,0.788,0.857,0,0,1,1,0,0,0.75,0.5,0,0,0
14,0,0,0.853,0,0,0.875,1,0,0,1,1,0,0,0.5,0,0
15,0,0.929,0.667,0,0,1,0.333,1,0,1,0,0,0,0,0,0
16,0.987,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5
