region,round,team1,seed1,score1,team2,seed2,score2,winner
East,First Round,UNC,1,101,Northeastern,16,66,UNC
East,First Round,Princeton,8,48,Villanova,9,50,Villanova
East,First Round,Mississippi State,5,56,Eastern Michigan,12,76,Eastern Michigan
East,First Round,UCLA,4,69,Penn State,13,74,Penn State
East,First Round,NC State,6,114,Southern Miss,11,85,NC State
East,First Round,Oklahoma State,3,67,New Mexico,14,54,Oklahoma State
East,First Round,Purdue,7,63,Temple,10,80,Temple
East,First Round,Syracuse,2,69,Richmond,15,73,Richmond
East,Second Round,UNC,1,84,Villanova,9,69,UNC
East,Second Round,Eastern Michigan,12,71,Penn State,13,68,Eastern Michigan
East,Second Round,NC State,6,64,Oklahoma State,3,73,Oklahoma State
East,Second Round,Temple,10,77,Richmond,15,64,Temple
East,Sweet Sixteen,UNC,1,93,Eastern Michigan,12,67,UNC
East,Sweet Sixteen,Oklahoma State,3,63,Temple,10,72,Temple
East,Elite Eight,UNC,1,75,Temple,10,72,UNC
Midwest,First Round,Ohio State,1,97,Towson,16,86,Ohio State
Midwest,First Round,Georgia Tech,8,87,DePaul,9,70,Georgia Tech
Midwest,First Round,Texas,5,73,St. Peter's,12,65,Texas
Midwest,First Round,St. John's (NY),4,75,Northern Illinois,13,68,St. John's (NY)
Midwest,First Round,LSU,6,62,UConn,11,79,UConn
Midwest,First Round,Nebraska,3,84,Xavier,14,89,Xavier
Midwest,First Round,Iowa,7,76,ETSU,10,73,Iowa
Midwest,First Round,Duke,2,102,Louisiana-Monroe,15,73,Duke
Midwest,Second Round,Ohio State,1,65,Georgia Tech,8,61,Ohio State
Midwest,Second Round,Texas,5,76,St. John's (NY),4,84,St. John's (NY)
Midwest,Second Round,UConn,11,66,Xavier,14,50,UConn
Midwest,Second Round,Iowa,7,70,Duke,2,85,Duke
Midwest,Sweet Sixteen,Ohio State,1,74,St. John's (NY),4,91,St. John's (NY)
Midwest,Sweet Sixteen,UConn,11,67,Duke,2,81,Duke
Midwest,Elite Eight,St. John's (NY),4,61,Duke,2,78,Duke
West,First Round,UNLV,1,99,Montana,16,65,UNLV
West,First Round,Georgetown,8,70,Vanderbilt,9,60,Georgetown
West,First Round,Michigan State,5,60,Green Bay,12,58,Michigan State
West,First Round,Utah,4,82,South Alabama,13,72,Utah
West,First Round,New Mexico State,6,56,Creighton,11,64,Creighton
West,First Round,Seton Hall,3,71,Pepperdine,14,51,Seton Hall
West,First Round,Virginia,7,48,BYU,10,61,BYU
West,First Round,Arizona,2,93,Saint Francis (PA),15,80,Arizona
West,Second Round,UNLV,1,62,Georgetown,8,54,UNLV
West,Second Round,Michigan State,5,84,Utah,4,85,Utah
West,Second Round,Creighton,11,69,Seton Hall,3,81,Seton Hall
West,Second Round,BYU,10,61,Arizona,2,76,Arizona
West,Sweet Sixteen,UNLV,1,83,Utah,4,66,UNLV
West,Sweet Sixteen,Seton Hall,3,81,Arizona,2,77,Seton Hall
West,Elite Eight,UNLV,1,77,Seton Hall,3,65,UNLV
National,Final Four,Duke,2,79,UNLV,1,77,Duke
National,Final Four,UNC,1,73,Kansas,3,79,Kansas
National,Championship,Duke,2,72,Kansas,3,65,Duke
