Team,Round of 32,Sweet 16,Elite 8,Final 4,National Championship,Champion,ExpectedValue
Duke,96.408,82.797,65.918,48.483,30.964,20.361,2060.514
Florida,97.868,76.51,59.053,39.792,22.831,14.116,1622.444
Michigan,94.662,75.15,55.261,36.902,22.142,12.125,1503.494
Arizona,96.303,77.019,59.065,34.088,19.624,10.129,1397.417
Gonzaga,92.734,65.356,40.907,24.504,13.538,6.147,996.418
Iowa State,93.84,65.785,37.726,19.351,10.046,4.54,837.138
Houston,91.768,60.638,36.371,18.595,9.149,4.511,798.024
Purdue,94.301,65.836,33.823,18.097,9.243,4.233,789.385
Illinois,93.942,63.246,34.646,16.243,7.65,3.69,729.442
UConn,91.131,64.147,33.388,13.318,6.327,2.832,651.377
Michigan State,87.725,53.884,32.56,13.769,6.104,2.63,617.709
Virginia,90.394,50.674,26.153,11.415,4.882,1.786,522.938
Tennessee,79.368,43.224,22.212,9.563,4.224,1.65,451.552
St. John's,79.743,53.156,17.039,8.397,3.481,1.453,423.579
Alabama,86.085,43.773,16.821,7.365,2.837,1.023,377.963
Texas Tech,69.158,41.81,14.628,6.846,2.701,0.955,339.834
Saint Mary's,69.04,30.502,14.053,5.812,2.188,0.93,297.52
Louisville,62.294,30.946,15.741,5.577,2.255,0.885,296.166
BYU,69.285,27.446,13.362,5.952,2.509,0.852,292.649
Vanderbilt,76.956,42.677,13.179,5.004,1.812,0.666,305.362
Nebraska,85.765,47.169,14.952,5.926,1.898,0.639,338.135
Arkansas,84.717,47.527,15.375,5.73,2.145,0.621,341.303
Wisconsin,61.436,33.755,11.435,4.107,1.486,0.457,245.942
Kentucky,72.332,27.732,11.345,3.809,1.231,0.368,235.12
Kansas,82.239,36.488,8.393,3.14,0.928,0.287,237.939
UCLA,71.788,27.595,11.067,2.941,0.848,0.269,216.95
Miami,65.326,24.652,7.967,2.749,0.867,0.233,189.818
North Carolina,51.564,19.108,6.48,2.049,0.672,0.226,150.076
Iowa,52.74,12.206,6.011,2.113,0.616,0.204,134.484
Clemson,47.26,11.167,5.493,1.903,0.577,0.177,121.686
Georgia,57.795,14.598,6.508,2.274,0.676,0.167,147.375
VCU,48.436,16.884,5.549,1.602,0.472,0.134,129.056
Utah State,55.643,11.609,5.409,1.618,0.458,0.107,124.193
Villanova,44.357,10.92,4.907,1.396,0.4,0.094,106.401
Ohio State,52.482,8.51,3.806,1.451,0.33,0.093,104.59
Saint Louis,42.205,9.616,3.968,1.361,0.352,0.089,96.677
TCU,47.518,8.194,3.609,1.245,0.301,0.07,95.358
South Florida,37.706,12.995,5.107,1.2,0.292,0.07,100.636
Texas A&M,30.96,8.156,2.775,0.739,0.196,0.044,68.828
Akron,30.842,11.884,2.465,0.648,0.179,0.038,73.734
High Point,38.564,15.239,3.3,0.803,0.169,0.029,92.298
Texas,30.715,6.228,1.836,0.419,0.093,0.022,56.059
Missouri,34.674,8.753,1.962,0.467,0.099,0.018,65.924
Colorado State,27.668,5.563,1.23,0.215,0.042,0.01,46.426
Miami (OH),20.632,4.824,1.108,0.181,0.036,0.008,36.992
Northern Iowa,20.257,6.97,0.841,0.164,0.031,0.004,39.497
UCF,28.212,6.856,1.591,0.215,0.042,0.003,50.776
McNeese,23.044,7.407,1.071,0.181,0.024,0.002,44.038
Troy,14.235,2.747,0.233,0.034,0.002,0.001,20.997
Hawai'i,15.283,3.479,0.441,0.057,0.01,0.001,24.653
Hofstra,13.915,2.533,0.261,0.043,0.007,0.001,20.513
California Baptist,17.761,3.386,0.332,0.05,0.004,0,26.325
North Dakota State,12.275,2.175,0.396,0.038,0.005,0,18.593
Furman,8.869,1.402,0.15,0.009,0,0,12.345
Siena,3.592,0.499,0.062,0.003,0.001,0,4.878
Pennsylvania,6.058,0.762,0.066,0.004,0,0,7.878
Idaho,8.232,0.704,0.06,0.003,0,0,9.904
Prairie View A&M,2.132,0.117,0.008,0,0,0,2.398
Kennesaw State,7.266,0.97,0.094,0.004,0.001,0,9.63
Queens University,5.699,0.759,0.049,0.004,0.001,0,7.461
Long Island University,3.697,0.452,0.068,0.005,0,0,4.913
Wright State,9.606,1.278,0.139,0.006,0.001,0,12.782
Tennessee State,6.16,0.92,0.087,0.011,0.001,0,8.452
Howard,5.338,0.636,0.088,0.01,0,0,7.042
